Check_ID,Meal_Period,Item_Code,Item,Qty,Net_Revenue,Approved_Cost,Classic_CM
JUL26-00001,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00008,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00015,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00022,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00029,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00036,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00043,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00050,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00057,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00064,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00071,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00078,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00085,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00092,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00099,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00106,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00113,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00120,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00127,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00134,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00141,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00148,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00155,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00162,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00169,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00176,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00183,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00190,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00197,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00204,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00211,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00218,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00225,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
JUL26-00232,Brunch,F01,Ribeye Steak,1,45.0,17.0,28.0
