Period,Item_Code,Item,Population,Units,Net_Price,Net_Revenue,Approved_Cost_per_Unit,Classic_CM_per_Unit
2026-01,F01,Ribeye Steak,Mains,792,45.0,35640.0,17.0,28.0
2026-01,F02,House Burger,Mains,1408,22.0,30976.0,7.0,15.0
2026-01,F03,Club Sandwich,Mains,1320,18.0,23760.0,5.5,12.5
2026-01,F04,Grilled Chicken,Mains,1232,24.0,29568.0,6.5,17.5
2026-01,F05,Local Seafood Plate,Mains,616,38.0,23408.0,12.5,25.5
2026-01,F06,Vegan Curry,Mains,704,19.0,13376.0,5.0,14.0
2026-01,F07,Seasonal Soup,Starters & Desserts,440,12.0,5280.0,3.0,9.0
2026-01,F08,Chocolate Tart,Starters & Desserts,440,14.0,6160.0,4.6,9.4
2026-01,B01,House Beer,Beverages,792,8.0,6336.0,1.8,6.2
2026-01,B02,Local Wine,Beverages,440,18.0,7920.0,4.8,13.2
2026-01,B03,Soft Drinks,Beverages,704,5.0,3520.0,0.9,4.1
2026-01,B04,Cocktails,Beverages,352,18.0,6336.0,3.6,14.4
2026-02,F01,Ribeye Steak,Mains,828,45.0,37260.0,17.0,28.0
2026-02,F02,House Burger,Mains,1472,22.0,32384.0,7.0,15.0
2026-02,F03,Club Sandwich,Mains,1380,18.0,24840.0,5.5,12.5
2026-02,F04,Grilled Chicken,Mains,1288,24.0,30912.0,6.5,17.5
2026-02,F05,Local Seafood Plate,Mains,644,38.0,24472.0,12.5,25.5
2026-02,F06,Vegan Curry,Mains,736,19.0,13984.0,5.0,14.0
2026-02,F07,Seasonal Soup,Starters & Desserts,460,12.0,5520.0,3.0,9.0
2026-02,F08,Chocolate Tart,Starters & Desserts,460,14.0,6440.0,4.6,9.4
2026-02,B01,House Beer,Beverages,828,8.0,6624.0,1.8,6.2
2026-02,B02,Local Wine,Beverages,460,18.0,8280.0,4.8,13.2
2026-02,B03,Soft Drinks,Beverages,736,5.0,3680.0,0.9,4.1
2026-02,B04,Cocktails,Beverages,368,18.0,6624.0,3.6,14.4
2026-03,F01,Ribeye Steak,Mains,855,45.0,38475.0,17.0,28.0
2026-03,F02,House Burger,Mains,1520,22.0,33440.0,7.0,15.0
2026-03,F03,Club Sandwich,Mains,1425,18.0,25650.0,5.5,12.5
2026-03,F04,Grilled Chicken,Mains,1330,24.0,31920.0,6.5,17.5
2026-03,F05,Local Seafood Plate,Mains,665,38.0,25270.0,12.5,25.5
2026-03,F06,Vegan Curry,Mains,760,19.0,14440.0,5.0,14.0
2026-03,F07,Seasonal Soup,Starters & Desserts,475,12.0,5700.0,3.0,9.0
2026-03,F08,Chocolate Tart,Starters & Desserts,475,14.0,6650.0,4.6,9.4
2026-03,B01,House Beer,Beverages,855,8.0,6840.0,1.8,6.2
2026-03,B02,Local Wine,Beverages,475,18.0,8550.0,4.8,13.2
2026-03,B03,Soft Drinks,Beverages,760,5.0,3800.0,0.9,4.1
2026-03,B04,Cocktails,Beverages,380,18.0,6840.0,3.6,14.4
2026-04,F01,Ribeye Steak,Mains,882,45.0,39690.0,17.0,28.0
2026-04,F02,House Burger,Mains,1568,22.0,34496.0,7.0,15.0
2026-04,F03,Club Sandwich,Mains,1470,18.0,26460.0,5.5,12.5
2026-04,F04,Grilled Chicken,Mains,1372,24.0,32928.0,6.5,17.5
2026-04,F05,Local Seafood Plate,Mains,686,38.0,26068.0,12.5,25.5
2026-04,F06,Vegan Curry,Mains,784,19.0,14896.0,5.0,14.0
2026-04,F07,Seasonal Soup,Starters & Desserts,490,12.0,5880.0,3.0,9.0
